work_Id,nom projet,permalink,Date de création,*SPV,Puissance MWc (Prev),Longitude DD (Projet),Latitude DD (Projet),Adresse (Projet),Code Postal (Projet),Commune (Projet),Période (Dépôt CRE),📆 Date (T0),Date (Limite MES),Type (Tarif)-V2,FIT €/MWh (déf),📅 Signature PMBAIL,Commercial,📆 Date (Demande Racco),Région (Projet),Date (MES prev),Puissance (MWc Déf),📆 Date réception CR(D),Montant HT CR(D),Estimatif cout Racco (HT),Date (Début Chantier),Productible kWh/kWc (V1),Responsable Dev,Date paiement acompte ( CR(D) ),Date (envoi dossier notaire),Productible kWh/kWc (V4 Solargis),Type (AU),Lauréat AO,📆 Signature Bail,Date (Signature Procuration),Réception DAACT,Pipeline (HS),📆 GO RACCO,Accord,📆 GO URBA,📆 Prev Accord,Validité,Date dépôt AO,📅 GO TARIF,Date (Fin Chantier),Date MES,📅 GO CONSTRUCTION,Date accord (PCM1),📆 Dépôt,Hypothèque,CAPEX - V3 (K€),Productible kWh/kWc (V3 Solargis),Date accord (PCM2),📆 COMPLETUDE OK,Date accord (Transf PC),Productible kWh/kWc (V2 Solargis),CAPEX - V1 (K€),Marge K€ (V1),Marge (V1),CAPEX - V2 (K€),Marge K€ (V2),📅 Date R1 fixée,Marge (V2),Date accord (PCM3),Marge K€ (V3),📅  Date accord (Transf DP),Marge (V3),Responsable Dev ID
IEACTCKNI4LT6Q7B,Auque,https://www.wrike.com/open.htm?id=390022113,2019-08-25T17:21:48Z,ENOE PV01,0.189,2.269583,43.861653,Lieu-dit La Flourié,81430,MOUZIEYS-TEULET,Bat-8 : juill 2019,2019-10-08,2023-07-08,AO CRE,98.5,2018-11-30,KUAGPU2M,2019-12-07,Occitanie (11),2022-05-09,0.2074,2020-03-23,25115.16,0,2021-03-01,1137,CONGARD Kévin,2020-06-12,2020-07-15,1212,PC,true,2021-06-03,2021-06-03,2022-02-25,"[""Bâtiment Neuf""]",2019-12-07,2019-05-15,2018-11-30,2019-05-15,2022-05-15,2019-07-05,2019-11-07,2022-02-18,2022-11-22,2021-06-03,,,,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4LUAX5T,Barras,https://www.wrike.com/open.htm?id=390094771,2019-08-26T04:31:38Z,ENOE PV01,0.212,5.428072,43.670506,"395 Traverse Régine, RD 561",13610,PUY-SAINTE-REPARADE,Bat-8 : juill 2019,2019-10-08,2023-07-08,AO CRE,96.9,2019-03-06,KUAGEAKU,2019-12-07,Provence-Alpes-Côte d'Azur (13),2022-01-10,0.20944,2020-06-08,15063.16,,2021-04-05,1272,CONGARD Kévin,2020-09-16,2020-07-02,1250,DP,true,2021-03-24,2021-02-24,2022-09-13,"[""Location Toiture""]",2019-12-07,2019-05-06,2019-03-06,2019-05-06,2022-05-06,2019-07-05,2019-11-07,2022-04-13,2022-11-18,2021-03-24,,,,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4LUBBRP,Gauthier,https://www.wrike.com/open.htm?id=390104623,2019-08-26T05:51:28Z,ENOE PV01,0.215,5.769708,44.995597,Chemin des Vagnoux,38119,SAINT THEOFFREY,Bat-8 : juill 2019,2019-10-08,2023-07-08,AO CRE,98.5,2018-05-22,KUAGPU2V,2019-12-07,Auvergne-Rhône-Alpes(1),2021-05-03,0.2363,2020-11-25,38533.81,,2021-03-31,1183,CONGARD Kévin,2020-12-22,2020-07-02,1222,PC,true,2021-07-08,2021-06-02,,"[""Bâtiment Neuf""]",2019-12-07,2019-05-21,2018-05-22,2019-05-21,2022-05-21,2019-07-05,2019-11-07,,,2021-06-02,,,,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4LUCIE4,Dupont,https://www.wrike.com/open.htm?id=390144156,2019-08-26T08:03:52Z,ENOE PV01,0.175,5.959822,44.569867,Lieu-dit Le Roure,05400,LA ROCHE DES ARNAUDS,Bat-8 : juill 2019,2019-10-08,2022-01-08,AO CRE,97.9,2019-06-14,KUAFV42T,2019-12-07,Provence-Alpes-Côte d'Azur (13),2022-01-10,0.17464,2020-05-27,33405.91,0,2020-06-01,1320,GAUBERTI Anansa,2020-07-28,2020-07-02,1456,PC,true,2021-01-26,2021-01-08,2020-10-02,"[""Bâtiment Neuf""]",2019-12-07,2019-05-15,2019-06-14,2019-05-15,2022-05-15,2019-07-05,2019-11-07,2022-05-05,2022-08-09,2021-01-26,2020-08-27,,,,,,,,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4LUCO67,Mouro,https://www.wrike.com/open.htm?id=390151135,2019-08-26T08:32:45Z,ENOE PV01,0.241,2.192986,43.977644,Lieu-dit Bellerive,81380,LESCURE D'ALBIGEOIS,Bat-8 : juill 2019,2019-10-08,2023-07-08,AO CRE,98.5,2018-11-30,KUAGPU2M,2019-12-07,Occitanie (11),2022-01-08,0.24072,2020-03-12,26316.39,0,2021-03-01,1134,CONGARD Kévin,2020-06-03,2020-10-21,1234,PC,true,2022-03-01,2022-02-17,,"[""Bâtiment Neuf""]",2019-12-07,2019-04-12,2018-11-30,2019-04-12,2022-04-12,2019-07-05,2019-11-07,,,2022-02-17,,,,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4LUCRPV,Pomarede-1,https://www.wrike.com/open.htm?id=390153717,2019-08-26T08:42:49Z,ENOE PV01,0.099,2.673339,44.078894,Lieu-dit La Sarette,12430,LESTRADE ET THOUELS,SANS OBJET,2020-06-22,2022-07-22,Obligation d'achat S17,105.1,2018-11-01,KUAGEAKU,2020-03-25,Occitanie (11),2021-11-01,0.09999,2020-10-29,12395.48,,2021-04-15,1094,CONGARD Kévin,2021-01-21,2020-10-21,1158,DP,,2021-09-30,2021-10-01,2022-08-26,"[""Location Toiture""]",2020-03-25,2019-07-02,2018-11-01,2019-07-02,2022-07-02,,2020-02-25,2022-05-06,2022-10-28,2021-09-30,,,,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4LVGTMZ,Bony,https://www.wrike.com/open.htm?id=391335321,2019-08-28T13:34:17Z,ENOE PV01,0.099,5.158289,43.603042,"Chemin des Sabouillons, Puits de Castillon",13680,LANCON DE PROVENCE,SANS OBJET,2019-12-12,2022-01-12,Obligation d'achat S17,107.6,2018-11-14,KUAFV42T,2019-09-27,Provence-Alpes-Côte d'Azur (13),2022-01-12,0.09999,2020-04-07,14330.28,0,2021-05-05,1228,CONGARD Kévin,2020-07-03,2021-04-16,1182,PC,,2021-09-10,2021-08-27,2022-05-05,"[""Bâtiment Neuf""]",2019-09-27,2015-10-27,2018-11-14,2015-10-27,2018-10-27,,2019-08-27,2022-05-11,2022-06-17,2021-09-10,2019-06-29,,,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4LVGZF2,Lescot,https://www.wrike.com/open.htm?id=391341242,2019-08-28T13:44:19Z,ENOE PV01,0.099,4.809817,43.576474,Mas du Village,13310,SAINT-MARTIN-DE-CRAU,SANS OBJET,2019-10-18,2021-11-18,Obligation d'achat S17,107.6,2019-02-04,KUAGEAKU,2019-10-01,Provence-Alpes-Côte d'Azur (13),2021-11-18,0.09999,2020-02-07,4992.64,0,2021-05-01,1421,CONGARD Kévin,2020-05-12,2020-07-13,1419,PC,,2022-03-01,2022-02-10,,"[""Bâtiment Neuf""]",2019-10-01,2019-07-23,2019-02-04,2019-07-23,2022-07-23,,2019-09-01,2022-10-06,2022-11-22,2022-03-01,,,,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4LVTN7O,Leautier-G,https://www.wrike.com/open.htm?id=391755758,2019-08-29T08:16:17Z,ENOE PV01,0.099,5.876633,44.335583,Lieu-dit Les Longs,05300,UPAIX,SANS OBJET,2019-10-18,2021-11-18,Obligation d'achat S17,107.6,2018-10-06,KUAFV42T,2019-09-30,Provence-Alpes-Côte d'Azur (13),2021-04-19,0.0992,2020-02-17,17591.19,0,2021-03-15,1453,GAUBERTI Anansa,2020-05-18,2020-10-21,1515,PC,,2021-03-17,2021-02-10,2020-09-21,"[""Bâtiment Neuf""]",2019-09-30,2019-07-01,2018-10-06,2019-07-01,2022-07-01,,2019-08-30,2021-10-01,2022-05-24,2021-03-17,2021-09-21,,,,,,,,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4LVUN4Y,SCI-Voleda-Immo,https://www.wrike.com/open.htm?id=391788440,2019-08-29T09:37:25Z,A DETERMINER BAT,1.016,2.273162,44.521551,Lieu-dit Les Clots,12110,CRANSAC,Bat-9 : nov 2019,2020-02-06,2022-05-06,AO CRE,86,2019-07-18,KUAGEAKU,2019-12-26,Occitanie (11),2021-10-06,1.016,2020-11-27,80117.35,,2021-07-19,,GAUBERTI Anansa,2020-07-23,2021-03-09,,DP,true,,,,"[""Location Toiture""]",2019-12-26,2019-08-26,,,2022-08-26,2019-11-04,2019-11-26,,,,,2019-08-05,,,,,,,,,,,,,,,,,,,KUAI73UW
