nom projet,work_Id,SPV,permalink,Type (AU),Responsable,date_PMBAIL,date_BAIL,date_Accord,date_fin_Chantier,date_debut_Chantier,date accord (PCM1),date accord (PCM2),date accord (PCM3),date accord (Transf DP),date accord (Transf PC),Validite,Reception DAACT,Type Tarif,Date T0,Date depot AO,Date Demande Racco,Date Reception PTF,Date reception CR(D),Date paiement acompte PTF,Date paiement acompte CR(D),Date reception (CARDI),Date MES,Date signature CA,Date GO CONSTRUCTION,Date Consuel,NB_PMBAIL,conf_PMBAIL,perM_PMBAIL,url_PMBAIL,Nom_PMBAIL,createdDate_PMBAIL,NB_EHF,conf_EHF,perM_EHF,url_EHF,Nom_EHF,createdDate_EHF,NB_SBN,conf_SBN,perM_SBN,url_SBN,Nom_SBN,createdDate_SBN,NB_PRODPC,conf_PRODPC,perM_PRODPC,url_PRODPC,Nom_PRODPC,createdDate_PRODPC,NB_ARRETEPC,conf_ARRETEPC,perM_ARRETEPC,url_ARRETEPC,Nom_ARRETEPC,createdDate_ARRETEPC,NB_PRODDP,conf_PRODDP,perM_PRODDP,url_PRODDP,Nom_PRODDP,createdDate_PRODDP,NB_ARRETEDP,conf_ARRETEDP,perM_ARRETEDP,url_ARRETEDP,Nom_ARRETEDP,createdDate_ARRETEDP,NB_CONSTATPC,conf_CONSTATPC,perM_CONSTATPC,url_CONSTATPC,Nom_CONSTATPC,createdDate_CONSTATPC,NB_CNRPC,conf_CNRPC,perM_CNRPC,url_CNRPC,Nom_CNRPC,createdDate_CNRPC,NB_CONSTATDP,conf_CONSTATDP,perM_CONSTATDP,url_CONSTATDP,Nom_CONSTATDP,createdDate_CONSTATDP,NB_CNRDP,conf_CNRDP,perM_CNRDP,url_CNRDP,Nom_CNRDP,createdDate_CNRDP,NB_PROROG1PC,conf_PROROG1PC,perM_PROROG1PC,url_PROROG1PC,Nom_PROROG1PC,createdDate_PROROG1PC,NB_PROROGCONSTAT1PC,conf_PROROGCONSTAT1PC,perM_PROROGCONSTAT1PC,url_PROROGCONSTAT1PC,Nom_PROROGCONSTAT1PC,createdDate_PROROGCONSTAT1PC,NB_PROROGCNR1PC,conf_PROROGCNR1PC,perM_PROROGCNR1PC,url_PROROGCNR1PC,Nom_PROROGCNR1PC,createdDate_PROROGCNR1PC,NB_PROROG2PC,conf_PROROG2PC,perM_PROROG2PC,url_PROROG2PC,Nom_PROROG2PC,createdDate_PROROG2PC,NB_PROROGCONSTAT2PC,conf_PROROGCONSTAT2PC,perM_PROROGCONSTAT2PC,url_PROROGCONSTAT2PC,Nom_PROROGCONSTAT2PC,createdDate_PROROGCONSTAT2PC,NB_PROROGCNR2PC,conf_PROROGCNR2PC,perM_PROROGCNR2PC,url_PROROGCNR2PC,Nom_PROROGCNR2PC,createdDate_PROROGCNR2PC,NB_PROROG1DP,conf_PROROG1DP,perM_PROROG1DP,url_PROROG1DP,Nom_PROROG1DP,createdDate_PROROG1DP,NB_PROROGCONSTAT1DP,conf_PROROGCONSTAT1DP,perM_PROROGCONSTAT1DP,url_PROROGCONSTAT1DP,Nom_PROROGCONSTAT1DP,createdDate_PROROGCONSTAT1DP,NB_PROROGCNR1DP,conf_PROROGCNR1DP,perM_PROROGCNR1DP,url_PROROGCNR1DP,Nom_PROROGCNR1DP,createdDate_PROROGCNR1DP,NB_PROROG2DP,conf_PROROG2DP,perM_PROROG2DP,url_PROROG2DP,Nom_PROROG2DP,createdDate_PROROG2DP,NB_PROROGCONSTAT2DP,conf_PROROGCONSTAT2DP,perM_PROROGCONSTAT2DP,url_PROROGCONSTAT2DP,Nom_PROROGCONSTAT2DP,createdDate_PROROGCONSTAT2DP,NB_PROROGCNR2DP,conf_PROROGCNR2DP,perM_PROROGCNR2DP,url_PROROGCNR2DP,Nom_PROROGCNR2DP,createdDate_PROROGCNR2DP,NB_DOC,conf_DOC,perM_DOC,url_DOC,Nom_DOC,createdDate_DOC,NB_DAACT,conf_DAACT,perM_DAACT,url_DAACT,Nom_DAACT,createdDate_DAACT,NB_PCM,conf_PCM,perM_PCM,url_PCM,Nom_PCM,createdDate_PCM,NB_PCMARRETE,conf_PCMARRETE,perM_PCMARRETE,url_PCMARRETE,Nom_PCMARRETE,createdDate_PCMARRETE,NB_PCMCONSTAT,conf_PCMCONSTAT,perM_PCMCONSTAT,url_PCMCONSTAT,Nom_PCMCONSTAT,createdDate_PCMCONSTAT,NB_PCMCNR,conf_PCMCNR,perM_PCMCNR,url_PCMCNR,Nom_PCMCNR,createdDate_PCMCNR,NB_PCM2,conf_PCM2,perM_PCM2,url_PCM2,Nom_PCM2,createdDate_PCM2,NB_PCMARRETE2,conf_PCMARRETE2,perM_PCMARRETE2,url_PCMARRETE2,Nom_PCMARRETE2,createdDate_PCMARRETE2,NB_PCMCONSTAT2,conf_PCMCONSTAT2,perM_PCMCONSTAT2,url_PCMCONSTAT2,Nom_PCMCONSTAT2,createdDate_PCMCONSTAT2,NB_PCMCNR2,conf_PCMCNR2,perM_PCMCNR2,url_PCMCNR2,Nom_PCMCNR2,createdDate_PCMCNR2,NB_PCM3,conf_PCM3,perM_PCM3,url_PCM3,Nom_PCM3,createdDate_PCM3,NB_PCMARRETE3,conf_PCMARRETE3,perM_PCMARRETE3,url_PCMARRETE3,Nom_PCMARRETE3,createdDate_PCMARRETE3,NB_PCMCONSTAT3,conf_PCMCONSTAT3,perM_PCMCONSTAT3,url_PCMCONSTAT3,Nom_PCMCONSTAT3,createdDate_PCMCONSTAT3,NB_PCMCNR3,conf_PCMCNR3,perM_PCMCNR3,url_PCMCNR3,Nom_PCMCNR3,createdDate_PCMCNR3,NB_TRANSFERT,conf_TRANSFERT,perM_TRANSFERT,url_TRANSFERT,Nom_TRANSFERT,createdDate_TRANSFERT,NB_TRANSFERTCONSTAT,conf_TRANSFERTCONSTAT,perM_TRANSFERTCONSTAT,url_TRANSFERTCONSTAT,Nom_TRANSFERTCONSTAT,createdDate_TRANSFERTCONSTAT,NB_TRANSFERTCNR,conf_TRANSFERTCNR,perM_TRANSFERTCNR,url_TRANSFERTCNR,Nom_TRANSFERTCNR,createdDate_TRANSFERTCNR,NB_LAUREAT,conf_LAUREAT,perM_LAUREAT,url_LAUREAT,Nom_LAUREAT,createdDate_LAUREAT,NB_DOSSIERAO,conf_DOSSIERAO,perM_DOSSIERAO,url_DOSSIERAO,Nom_DOSSIERAO,createdDate_DOSSIERAO,NB_DDROA,conf_DDROA,perM_DDROA,url_DDROA,Nom_DDROA,createdDate_DDROA,NB_DDRCRE,conf_DDRCRE,perM_DDRCRE,url_DDRCRE,Nom_DDRCRE,createdDate_DDRCRE,NB_PTF,conf_PTF,perM_PTF,url_PTF,Nom_PTF,createdDate_PTF,NB_CRD,conf_CRD,perM_CRD,url_CRD,Nom_CRD,createdDate_CRD,NB_ACOMPTEPTF,conf_ACOMPTEPTF,perM_ACOMPTEPTF,url_ACOMPTEPTF,Nom_ACOMPTEPTF,createdDate_ACOMPTEPTF,NB_ACOMPTECRD,conf_ACOMPTECRD,perM_ACOMPTECRD,url_ACOMPTECRD,Nom_ACOMPTECRD,createdDate_ACOMPTECRD,NB_CARDI,conf_CARDI,perM_CARDI,url_CARDI,Nom_CARDI,createdDate_CARDI,NB_CEX,conf_CEX,perM_CEX,url_CEX,Nom_CEX,createdDate_CEX,NB_MES,conf_MES,perM_MES,url_MES,Nom_MES,createdDate_MES,NB_CONTRATHA,conf_CONTRATHA,perM_CONTRATHA,url_CONTRATHA,Nom_CONTRATHA,createdDate_CONTRATHA,NB_CONSUELV1,conf_CONSUELV1,perM_CONSUELV1,url_CONSUELV1,Nom_CONSUELV1,createdDate_CONSUELV1,NB_DOEV1,conf_DOEV1,perM_DOEV1,url_DOEV1,Nom_DOEV1,createdDate_DOEV1,NB_PVRV1,conf_PVRV1,perM_PVRV1,url_PVRV1,Nom_PVRV1,createdDate_PVRV1,NB_CONSUELV2,conf_CONSUELV2,perM_CONSUELV2,url_CONSUELV2,Nom_CONSUELV2,createdDate_CONSUELV2,NB_DOEV2,conf_DOEV2,perM_DOEV2,url_DOEV2,Nom_DOEV2,createdDate_DOEV2,NB_PVRV2,conf_PVRV2,perM_PVRV2,url_PVRV2,Nom_PVRV2,createdDate_PVRV2,Mis à jour
Auque,IEACTCKNI4LT6Q7B,ENOE PV01,https://www.wrike.com/open.htm?id=390022113,PC,CONGARD Kévin,2018-11-30,2021-06-03,2019-05-15,2022-02-18,2021-03-01,,,,,,2022-05-15,2022-02-25,AO CRE,2019-10-08,2019-07-05,2019-12-07,,2020-03-23,,2020-06-12,2021-10-12,2022-11-22,,2021-06-03,2021-12-31,1,1,https://www.wrike.com/open.htm?id=407846847,,,,1,1,https://www.wrike.com/open.htm?id=407846859,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=407846397,,,,1,1,https://www.wrike.com/open.htm?id=407846405,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=479985356,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=407846408,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=407846892,,,,1,1,https://www.wrike.com/open.htm?id=1020289431,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450159164,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450158840,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450158841,,,,1,1,https://www.wrike.com/open.htm?id=450158845,,,,1,1,https://www.wrike.com/open.htm?id=450158846,,,,1,1,https://www.wrike.com/open.htm?id=589198094,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=518829471,,,,1,0,https://www.wrike.com/open.htm?id=518829467,,,,0,0,,,,,2023-03-03 10:50:16
Barras,IEACTCKNI4LUAX5T,ENOE PV01,https://www.wrike.com/open.htm?id=390094771,DP,CONGARD Kévin,2019-03-06,2021-03-24,2019-05-06,2022-04-13,2021-04-05,,,,,,2022-05-06,2022-09-13,AO CRE,2019-10-08,2019-07-05,2019-12-07,,2020-06-08,,2020-09-16,2021-12-03,2022-11-18,,2021-03-24,2021-12-31,1,1,https://www.wrike.com/open.htm?id=407847568,,,,1,1,https://www.wrike.com/open.htm?id=407847583,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=407846666,,,,1,1,https://www.wrike.com/open.htm?id=407846672,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=479985321,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,0,https://www.wrike.com/open.htm?id=407846680,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=407847620,,,,1,1,https://www.wrike.com/open.htm?id=1020289451,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450159190,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450158875,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450158877,,,,1,1,https://www.wrike.com/open.htm?id=450158884,,,,1,1,https://www.wrike.com/open.htm?id=450158886,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=518830502,,,,1,0,https://www.wrike.com/open.htm?id=518830493,,,,0,0,,,,,2023-03-03 10:50:16
Gauthier,IEACTCKNI4LUBBRP,ENOE PV01,https://www.wrike.com/open.htm?id=390104623,PC,CONGARD Kévin,2018-05-22,2021-07-08,2019-05-21,,2021-03-31,,,,,,2022-05-21,,AO CRE,2019-10-08,2019-07-05,2019-12-07,,2020-11-25,,2020-12-22,2022-04-13,,,2021-06-02,2021-12-31,1,1,https://www.wrike.com/open.htm?id=407847087,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=475570107,,,,1,1,https://www.wrike.com/open.htm?id=407846499,,,,1,1,https://www.wrike.com/open.htm?id=407846502,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=479985190,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=407846505,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=407847137,,,,1,1,https://www.wrike.com/open.htm?id=1020289917,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450159291,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450159024,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450159040,,,,1,1,https://www.wrike.com/open.htm?id=450159041,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=928174233,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,2023-03-03 10:50:16
Dupont,IEACTCKNI4LUCIE4,ENOE PV01,https://www.wrike.com/open.htm?id=390144156,PC,GAUBERTI Anansa,2019-06-14,2021-01-26,2019-05-15,2022-05-05,2020-06-01,2020-08-27,,,,,2022-05-15,2020-10-02,AO CRE,2019-10-08,2019-07-05,2019-12-07,,2020-05-27,,2020-07-28,2022-05-12,2022-08-09,,2021-01-26,2022-01-03,1,1,https://www.wrike.com/open.htm?id=407846979,,,,1,1,https://www.wrike.com/open.htm?id=407846991,,,,1,1,https://www.wrike.com/open.htm?id=475570135,,,,1,1,https://www.wrike.com/open.htm?id=407846458,,,,1,1,https://www.wrike.com/open.htm?id=407846463,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=479985230,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=407846468,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=407846474,,,,1,1,https://www.wrike.com/open.htm?id=407846477,,,,2,1,https://www.wrike.com/open.htm?id=479985237,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=407847029,,,,1,1,https://www.wrike.com/open.htm?id=1020289701,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450159264,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450158977,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450158979,,,,1,1,https://www.wrike.com/open.htm?id=450158983,,,,1,1,https://www.wrike.com/open.htm?id=450158984,,,,1,1,https://www.wrike.com/open.htm?id=589198822,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=518835657,,,,2,1,https://www.wrike.com/open.htm?id=518835654,,,,0,0,,,,,2023-03-03 10:50:16
Mouro,IEACTCKNI4LUCO67,ENOE PV01,https://www.wrike.com/open.htm?id=390151135,PC,CONGARD Kévin,2018-11-30,2022-03-01,2019-04-12,,2021-03-01,,,,,,2022-04-12,,AO CRE,2019-10-08,2019-07-05,2019-12-07,,2020-03-12,,2020-06-03,2021-07-19,,,2022-02-17,2022-05-09,1,1,https://www.wrike.com/open.htm?id=407847455,,,,1,1,https://www.wrike.com/open.htm?id=407847470,,,,1,1,https://www.wrike.com/open.htm?id=475570084,,,,1,1,https://www.wrike.com/open.htm?id=407846625,,,,1,1,https://www.wrike.com/open.htm?id=407846629,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=479985150,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=616256760,,,,2,1,https://www.wrike.com/open.htm?id=616257686,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=407846632,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=407847513,,,,1,1,https://www.wrike.com/open.htm?id=1020290089,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450159318,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450159064,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450159065,,,,1,1,https://www.wrike.com/open.htm?id=450159070,,,,1,1,https://www.wrike.com/open.htm?id=450159072,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=518872106,,,,0,0,,,,,0,0,,,,,2023-03-03 10:50:16
Pomarede-1,IEACTCKNI4LUCRPV,ENOE PV01,https://www.wrike.com/open.htm?id=390153717,DP,CONGARD Kévin,2018-11-01,2021-09-30,2019-07-02,2022-05-06,2021-04-15,,,,,,2022-07-02,2022-08-26,Obligation d'achat S17,2020-06-22,,2020-03-25,,2020-10-29,,2021-01-21,2022-06-09,2022-10-28,,2021-09-30,2022-08-16,1,1,https://www.wrike.com/open.htm?id=407847895,,,,1,1,https://www.wrike.com/open.htm?id=407847907,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=407846776,,,,1,1,https://www.wrike.com/open.htm?id=407846779,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=479984721,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,0,https://www.wrike.com/open.htm?id=407846783,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450159330,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450159094,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450159101,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=589201002,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=518895305,,,,2,1,https://www.wrike.com/open.htm?id=518895298,,,,0,0,,,,,2023-03-03 10:50:16
Bony,IEACTCKNI4LVGTMZ,ENOE PV01,https://www.wrike.com/open.htm?id=391335321,PC,CONGARD Kévin,2018-11-14,2021-09-10,2015-10-27,2022-05-11,2021-05-05,2019-06-29,,,,,2018-10-27,2022-05-05,Obligation d'achat S17,2019-12-12,,2019-09-27,,2020-04-07,,2020-07-03,2022-04-11,2022-06-17,,2021-09-10,2021-12-31,1,1,https://www.wrike.com/open.htm?id=407853874,,,,1,1,https://www.wrike.com/open.htm?id=407853887,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=407853476,,,,1,1,https://www.wrike.com/open.htm?id=407853481,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=479985018,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=407853482,,,,2,1,https://www.wrike.com/open.htm?id=569639012,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=407853484,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=407853490,,,,1,1,https://www.wrike.com/open.htm?id=407853494,,,,2,1,https://www.wrike.com/open.htm?id=479985037,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450194742,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450194185,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450194186,,,,1,1,https://www.wrike.com/open.htm?id=450194191,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=589198334,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=518831918,,,,2,1,https://www.wrike.com/open.htm?id=518831915,,,,0,0,,,,,2023-03-03 10:50:16
Lescot,IEACTCKNI4LVGZF2,ENOE PV01,https://www.wrike.com/open.htm?id=391341242,PC,CONGARD Kévin,2019-02-04,2022-03-01,2019-07-23,2022-10-06,2021-05-01,,,,,,2022-07-23,,Obligation d'achat S17,2019-10-18,,2019-10-01,,2020-02-07,,2020-05-12,2022-05-31,2022-11-22,,2022-03-01,2021-11-17,1,1,https://www.wrike.com/open.htm?id=407854226,,,,1,1,https://www.wrike.com/open.htm?id=407854241,,,,1,1,https://www.wrike.com/open.htm?id=475569917,,,,1,1,https://www.wrike.com/open.htm?id=407853612,,,,1,1,https://www.wrike.com/open.htm?id=407853616,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=479984780,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=407853620,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450194989,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450194582,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450194585,,,,1,1,https://www.wrike.com/open.htm?id=450194592,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=589199709,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=518870156,,,,1,0,https://www.wrike.com/open.htm?id=518870147,,,,0,0,,,,,2023-03-03 10:50:16
Leautier-G,IEACTCKNI4LVTN7O,ENOE PV01,https://www.wrike.com/open.htm?id=391755758,PC,GAUBERTI Anansa,2018-10-06,2021-03-17,2019-07-01,2021-10-01,2021-03-15,2021-09-21,,,,,2022-07-01,2020-09-21,Obligation d'achat S17,2019-10-18,,2019-09-30,,2020-02-17,,2020-05-18,2021-11-04,2022-05-24,,2021-03-17,2021-11-17,1,1,https://www.wrike.com/open.htm?id=407854119,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=475569948,,,,1,1,https://www.wrike.com/open.htm?id=407853568,,,,1,1,https://www.wrike.com/open.htm?id=407853571,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=479984808,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=407853575,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=833501392,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450194930,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450194513,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=450194514,,,,1,1,https://www.wrike.com/open.htm?id=450194519,,,,1,1,https://www.wrike.com/open.htm?id=450194520,,,,1,1,https://www.wrike.com/open.htm?id=589199592,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=518869499,,,,2,1,https://www.wrike.com/open.htm?id=518869494,,,,0,0,,,,,2023-03-03 10:50:16
SCI-Voleda-Immo,IEACTCKNI4LVUN4Y,A DETERMINER BAT,https://www.wrike.com/open.htm?id=391788440,DP,GAUBERTI Anansa,2019-07-18,,2019-08-26,,2021-07-19,,,,,,2022-08-26,,AO CRE,2020-02-06,2019-11-04,2019-12-26,2020-05-25,2020-11-27,2020-07-23,2020-07-23,,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=407856471,,,,1,1,https://www.wrike.com/open.htm?id=407856476,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=479986541,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,0,https://www.wrike.com/open.htm?id=449713890,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,2023-03-03 10:50:16
